"","daytime_pop","daytime_density","travel_to","DP0010001","brewery","cafe","medinc","b_hs","hs","phd","oldpop","youngpop","dist1","dist2","dist3","dist4","zone","hood"
"4541",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,1,1,"Residential Single Family 7200","Lawton Park"
"4542",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,3,3,5,"Residential Single Family 5000","Southeast Magnolia"
"4543",5976,3357.9126998888,4369,4743,1,0,69865,6,43.1,16,3836,497,0,0,0,0,"General Industrial 2","Interbay"
"4544",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4545",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"General Industrial 1",NA
"4546",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"General Industrial 1","Interbay"
"4547",5058,1636.055585781,3139,5059,0,0,66455,0,43.5,23.7,4384,531,0,0,2,6,"Residential Single Family 5000","Southeast Magnolia"
"4548",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,2,3,3,6,"Residential Single Family 5000","Southeast Magnolia"
"4549",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,2,3,5,"Residential Single Family 5000","Briarcliff"
"4550",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,1,4,7,"Neighborhood Commercial 2","Briarcliff"
"4551",5058,1636.055585781,3139,5059,0,0,66455,0,43.5,23.7,4384,531,1,1,1,1,"Lowrise 3","Southeast Magnolia"
"4552",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,4,"Residential Single Family 7200","Lawton Park"
"4553",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,2,"Residential Single Family 5000","Lawton Park"
"4554",5058,1636.055585781,3139,5059,0,0,66455,0,43.5,23.7,4384,531,0,2,4,6,"Residential Single Family 5000","Southeast Magnolia"
"4555",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,1,"Residential Single Family 7200","Lawton Park"
"4556",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4557",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4558",5976,3357.9126998888,4369,4743,0,1,69865,6,43.1,16,3836,497,0,0,0,2,"Industrial Buffer","Interbay"
"4559",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4560",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,1,1,1,1,"Residential Single Family 7200","Lawton Park"
